rsi_dip,rsi_recovery_max,adx_min,trades_floor,volume_min,tickers_passed,tickers
40,62,22,8,0.8,1,CASY
40,62,22,8,1.0,1,CASY
40,62,22,8,1.2,0,
40,62,22,10,0.8,1,CASY
40,62,22,10,1.0,1,CASY
40,62,22,10,1.2,0,
40,62,25,3,0.8,1,CASY
40,62,25,3,1.0,1,CASY
40,62,25,3,1.2,0,
40,62,25,5,0.8,1,CASY
40,62,25,5,1.0,1,CASY
40,62,25,5,1.2,0,
40,62,25,8,0.8,1,CASY
40,62,25,8,1.0,1,CASY
40,62,25,8,1.2,0,
40,62,25,10,0.8,1,CASY
40,62,25,10,1.0,1,CASY
40,62,25,10,1.2,0,
40,65,15,3,0.8,1,CASY
40,65,15,3,1.0,1,CASY
40,65,15,3,1.2,0,
40,65,15,5,0.8,1,CASY
40,65,15,5,1.0,1,CASY
40,65,15,5,1.2,0,
40,65,15,8,0.8,1,CASY
40,65,15,8,1.0,1,CASY
40,65,15,8,1.2,0,
40,65,15,10,0.8,1,CASY
40,65,15,10,1.0,1,CASY
40,65,15,10,1.2,0,
40,65,18,3,0.8,1,CASY
40,65,18,3,1.0,1,CASY
40,65,18,3,1.2,0,
40,65,18,5,0.8,1,CASY
40,65,18,5,1.0,1,CASY
40,65,18,5,1.2,0,
40,65,18,8,0.8,1,CASY
40,65,18,8,1.0,1,CASY
40,65,18,8,1.2,0,
40,65,18,10,0.8,1,CASY
40,65,18,10,1.0,1,CASY
40,65,18,10,1.2,0,
40,65,20,3,0.8,1,CASY
40,65,20,3,1.0,1,CASY
40,65,20,3,1.2,0,
40,65,20,5,0.8,1,CASY
40,65,20,5,1.0,1,CASY
40,65,20,5,1.2,0,
40,65,20,8,0.8,1,CASY
40,65,20,8,1.0,1,CASY
40,65,20,8,1.2,0,
40,65,20,10,0.8,1,CASY
40,65,20,10,1.0,1,CASY
40,65,20,10,1.2,0,
40,65,22,3,0.8,1,CASY
40,65,22,3,1.0,1,CASY
40,65,22,3,1.2,0,
40,65,22,5,0.8,1,CASY
40,65,22,5,1.0,1,CASY
40,65,22,5,1.2,0,
40,65,22,8,0.8,1,CASY
40,65,22,8,1.0,1,CASY
40,65,22,8,1.2,0,
40,65,22,10,0.8,1,CASY
40,65,22,10,1.0,1,CASY
40,65,22,10,1.2,0,
40,65,25,3,0.8,1,CASY
40,65,25,3,1.0,1,CASY
40,65,25,3,1.2,0,
40,65,25,5,0.8,1,CASY
40,65,25,5,1.0,1,CASY
40,65,25,5,1.2,0,
40,65,25,8,0.8,1,CASY
40,65,25,8,1.0,1,CASY
40,65,25,8,1.2,0,
